# #Alpha,Epeak,Redshift,Trigger Number
-1.489249999999999963e+00,nan,6.770000000000000462e-01,5.093370000000000000e+05
-2.527210000000000178e+00,nan,1.079599999999999893e+00,5.087120000000000000e+05
-1.659990000000000077e+00,nan,3.151600000000000179e+00,5.083190000000000000e+05
-5.173630000000000173e+00,nan,1.300000000000000044e+00,5.079010000000000000e+05
-1.483409999999999895e+00,nan,2.892999999999999794e+00,5.071850000000000000e+05
-1.816489999999999938e+00,nan,4.990050000000000097e+00,5.050540000000000000e+05
-1.581460000000000088e+00,nan,3.359999999999999876e+00,5.009140000000000000e+05
-2.105319999999999858e+00,nan,1.348000000000000087e+00,4.589180000000000000e+05
-1.824100000000000055e+00,nan,1.858000000000000096e+00,4.585210000000000000e+05
-1.149049999999999905e+00,nan,2.830000000000000071e+00,4.584480000000000000e+05
-1.858789999999999942e+00,nan,1.036000000000000032e+00,4.580590000000000000e+05
-1.626090000000000035e+00,nan,8.224000000000000199e-01,4.573300000000000000e+05
-1.261800000000000033e+00,nan,1.612999999999999989e+00,4.526850000000000000e+05
-8.308959999999999679e-01,1.479950000000000045e+02,1.770000000000000018e+00,4.519010000000000000e+05
-1.831199999999999939e+00,nan,1.460700000000000109e+00,4.454140000000000000e+05
-1.671899999999999942e+00,nan,2.220000000000000195e+00,4.446430000000000000e+05
-1.060179999999999900e+00,nan,2.338999999999999968e+00,4.438610000000000000e+05
-1.819229999999999903e+00,nan,6.179999999999999938e-01,4.416760000000000000e+05
-1.831020000000000092e+00,nan,8.469999999999999751e-01,4.410150000000000000e+05
-1.766920000000000046e+00,nan,5.518499999999999517e-01,4.406350000000000000e+05
-6.251009999999999955e+00,nan,7.179999999999999716e-01,4.406060000000000000e+05
-1.425610000000000044e+00,nan,4.139999999999999791e-01,4.402850000000000000e+05
-1.722879999999999967e+00,nan,1.727000000000000091e+00,4.335090000000000000e+05
-1.402160000000000073e+00,nan,1.408400000000000096e+00,4.330650000000000000e+05
-7.362910000000000288e-01,1.721910000000000025e+02,8.048999999999999488e-01,4.317640000000000000e+05
-1.451680000000000081e+00,nan,1.439999999999999947e+00,4.316050000000000000e+05
-1.543339999999999934e+00,nan,2.105999999999999872e+00,4.301720000000000000e+05
-1.122579999999999911e+00,nan,1.566999999999999948e+00,4.301510000000000000e+05
-1.923359999999999959e+00,nan,1.288000000000000034e+00,4.298680000000000000e+05
-1.251770000000000049e+00,nan,1.019999999999999934e-01,4.261140000000000000e+05
-8.892020000000000479e+00,nan,4.520000000000000129e-01,4.256470000000000000e+05
-1.896390000000000020e+00,nan,5.420000000000000373e-01,4.251510000000000000e+05
-1.863990000000000036e+00,nan,1.397999999999999909e+00,4.247330000000000000e+05
-1.592899999999999983e+00,nan,4.772000000000000242e+00,4.218140000000000000e+05
-1.218339999999999979e+00,nan,5.201000000000000068e-01,4.213860000000000000e+05
-2.436809999999999921e+00,nan,1.754999999999999893e+00,4.203980000000000000e+05
-1.833690000000000042e+00,nan,2.464999999999999858e+00,4.203670000000000000e+05
-2.195429999999999993e+00,nan,6.239000000000000101e-01,4.197970000000000000e+05
-2.359179999999999833e+00,nan,5.909999999999999976e-02,4.161350000000000000e+05
-2.271549999999999958e+00,nan,1.179999999999999938e+00,4.161030000000000000e+05
-1.461889999999999912e+00,nan,3.154999999999999805e+00,4.160760000000000000e+05
-1.718890000000000029e+00,nan,4.812999999999999723e+00,4.145920000000000000e+05
-1.330049999999999955e+00,nan,4.667229999999999990e+00,4.129820000000000000e+05
-2.291999999999999815e+00,nan,6.039999999999999813e-01,4.122200000000000000e+05
-8.788790000000000546e+00,nan,9.150000000000000355e-01,3.829410000000000000e+05
-1.761460000000000026e+00,nan,1.063299999999999912e+00,3.785590000000000000e+05
-2.023099999999999898e+00,nan,4.904399999999999871e-01,3.771790000000000000e+05
-1.306240000000000068e+00,nan,3.076000000000000068e+00,3.752460000000000000e+05
-1.460029999999999939e+00,6.132079999999999842e+01,2.751999999999999780e+00,3.742100000000000000e+05
-1.205920000000000103e+00,nan,1.092000000000000082e+00,3.736740000000000000e+05
-1.532380000000000075e+00,nan,1.709999999999999964e+00,3.734580000000000000e+05
-2.305330000000000101e+00,nan,9.709999999999999742e-01,3.731720000000000000e+05
-1.796149999999999913e+00,nan,1.370000000000000107e+00,3.708460000000000000e+05
-5.163980000000000237e-01,8.054529999999999745e+01,1.239999999999999991e+00,3.707910000000000000e+05
-1.841909999999999936e+00,nan,6.959999999999999520e-01,3.599510000000000000e+05
-1.218159999999999910e+00,nan,2.451999999999999957e+00,3.597110000000000000e+05
-1.348330000000000028e+00,nan,2.737000000000000099e+00,3.595300000000000000e+05
-2.287679999999999936e+00,nan,2.709999999999999964e+00,3.584220000000000000e+05
-1.583339999999999970e+00,nan,3.000000000000000000e+00,3.575120000000000000e+05
-1.209459999999999980e+00,nan,1.800000000000000044e+00,3.568900000000000000e+05
-1.577639999999999931e+00,nan,5.400000000000000355e-01,3.550830000000000000e+05
-1.559539999999999926e+00,nan,1.266000000000000014e+00,3.535670000000000000e+05
-1.986469999999999958e+00,nan,2.625000000000000000e+00,3.535400000000000000e+05
-8.515530000000000044e+00,nan,3.850000000000000089e+00,3.526480000000000000e+05
-1.672789999999999999e+00,nan,4.108999999999999986e+00,3.521900000000000000e+05
-1.062329999999999997e+00,nan,9.030000000000000249e-01,3.515880000000000000e+05
-5.426079999999999792e-01,4.525090000000000146e+01,9.380000000000000782e+00,3.508540000000000000e+05
-1.837460000000000093e+00,nan,2.608999999999999986e+00,3.504790000000000000e+05
-1.241489999999999982e+00,1.527849999999999966e+02,5.440000000000000391e-01,3.503110000000000000e+05
-7.649219999999999908e-01,5.322959999999999781e+01,8.259999999999999787e+00,3.501840000000000000e+05
-1.335599999999999898e+00,nan,1.608000000000000096e+00,3.495100000000000000e+05
-1.813560000000000061e+00,nan,3.449999999999999734e-01,3.494500000000000000e+05
-1.646549999999999958e+00,nan,1.448499999999999899e+00,3.486500000000000000e+05
-2.261120000000000019e+00,nan,2.870000000000000107e+00,3.484280000000000000e+05
-1.898700000000000054e+00,nan,3.373600000000000154e+00,3.463860000000000000e+05
-2.005389999999999784e+00,nan,4.649700000000000166e+00,3.421210000000000000e+05
-9.041749999999999510e-01,1.256919999999999931e+02,2.100000000000000089e+00,3.417490000000000000e+05
-1.531919999999999948e+00,nan,1.749300000000000077e+00,3.398520000000000000e+05
-1.326070000000000082e+00,nan,1.546999999999999931e+00,3.388950000000000000e+05
-1.914320000000000022e+00,nan,2.029999999999999805e+00,3.386330000000000000e+05
-1.998909999999999965e+00,nan,3.439999999999999947e+00,3.383380000000000000e+05
-1.410020000000000051e+00,nan,2.770000000000000018e+00,3.379140000000000000e+05
-1.298119999999999941e+00,9.038800000000000523e+01,2.259999999999999787e+00,3.378890000000000000e+05
-1.636319999999999997e+00,nan,2.159999999999999976e-01,9.005308900000000000e+07
-1.425890000000000102e+00,nan,2.049999999999999822e+00,3.364890000000000000e+05
-1.088100000000000067e+00,nan,2.512000000000000011e+00,3.351050000000000000e+05
-2.107779999999999987e+00,nan,2.580000000000000071e+00,3.348770000000000000e+05
-1.608419999999999961e+00,nan,9.787000000000000144e-01,3.341120000000000000e+05
-1.406910000000000105e+00,nan,3.847900000000000098e+00,3.329310000000000000e+05
-1.773590000000000000e+00,nan,3.037999999999999812e+00,3.328510000000000000e+05
-1.623369999999999980e+00,nan,1.968299999999999939e+00,3.310930000000000000e+05
-2.426219999999999821e+00,nan,5.294999999999999707e-01,3.308560000000000000e+05
-1.728350000000000053e+00,nan,1.691899999999999959e+00,3.261150000000000000e+05
-1.185880000000000045e+00,1.209569999999999936e+02,6.886999999999999789e-01,3.248950000000000000e+05
-1.199840000000000018e+00,nan,6.732999999999999652e+00,3.245610000000000000e+05
-1.516729999999999912e+00,nan,2.129999999999999893e+00,3.239840000000000000e+05
-1.654760000000000009e+00,nan,2.373899999999999899e+00,3.238980000000000000e+05
-7.948859999999999815e+00,nan,1.218000000000000055e-01,3.238700000000000000e+05
-1.270000000000000018e+00,nan,3.360399999999999832e+00,3.195840000000000000e+05
-1.515670000000000073e+00,nan,1.504199999999999982e+00,3.190360000000000000e+05
-1.087290000000000090e+00,nan,2.204499999999999904e+00,3.190160000000000000e+05
-1.125229999999999952e+00,nan,2.591400000000000148e+00,3.175080000000000000e+05
-1.447850000000000081e+00,nan,8.454000000000000403e-01,3.165340000000000000e+05
-1.699789999999999912e+00,nan,1.232199999999999962e+00,3.162040000000000000e+05
-1.240609999999999991e+00,nan,3.036799999999999944e+00,3.134170000000000000e+05
-1.146060000000000079e+00,2.906970000000000027e+02,1.640300000000000091e+00,3.132990000000000000e+05
-1.678369999999999918e+00,nan,1.417100000000000026e+00,3.131160000000000000e+05
-1.210469999999999935e+00,7.494129999999999825e+01,2.689200000000000035e+00,3.130870000000000000e+05
-1.277320000000000011e+00,nan,1.820400000000000018e+00,3.129580000000000000e+05
-3.080249999999999932e+00,nan,1.545700000000000074e+00,3.120470000000000000e+05
-1.427750000000000075e+00,nan,8.899999999999999578e-02,3.118740000000000000e+05
-1.820459999999999967e+00,nan,3.200000000000000178e+00,3.117620000000000000e+05
-1.733640000000000070e+00,nan,7.670000000000000151e-01,3.106130000000000000e+05
-1.742350000000000065e+00,nan,1.101399999999999935e+00,3.091110000000000000e+05
-1.529579999999999940e+00,nan,2.432999999999999829e+00,3.090960000000000000e+05
-1.684369999999999923e+00,nan,1.030100000000000016e+00,3.090100000000000000e+05
-2.653189999999999937e+00,nan,1.511900000000000022e+00,3.080410000000000000e+05
-1.559749999999999970e+00,nan,1.780000000000000027e+00,3.076040000000000000e+05
-1.285379999999999967e+00,nan,1.949200000000000044e+00,3.067780000000000000e+05
-1.038790000000000102e+00,nan,9.382000000000000339e-01,3.067570000000000000e+05
-2.217690000000000161e+00,nan,2.427430000000000199e+00,3.052880000000000000e+05
-1.716409999999999991e+00,nan,2.641900000000000137e+00,3.028880000000000000e+05
-1.560629999999999962e+00,nan,2.085799999999999876e+00,3.027280000000000000e+05
-1.268389999999999906e+00,nan,4.349000000000000199e+00,3.019810000000000000e+05
-2.010769999999999946e+00,nan,3.810000000000000053e-01,2.997870000000000000e+05
-1.622120000000000006e+00,nan,1.139999999999999902e+00,2.971140000000000000e+05
-1.195559999999999956e+00,1.366250000000000000e+02,1.330799999999999983e+00,2.968050000000000000e+05
#nan,nan,8.226999999999999869e-01,2.965040000000000000e+05
-2.354909999999999837e+00,nan,2.691800000000000193e+00,2.956700000000000000e+05
#nan,nan,9.399999999999999467e-01,2.954920000000000000e+05
-1.710970000000000102e+00,nan,5.200000000000000178e+00,2.953010000000000000e+05
-1.663939999999999975e+00,nan,2.451999999999999957e+00,2.949740000000000000e+05
-1.082009999999999916e+00,nan,2.146199999999999886e+00,2.948350000000000000e+05
-1.966229999999999922e+00,nan,9.469999999999999529e-01,2.937950000000000000e+05
-2.237919999999999909e+00,nan,9.849999999999999867e-01,2.937070000000000000e+05
-1.335129999999999928e+00,nan,1.604349999999999943e+00,2.929340000000000000e+05
-2.051219999999999821e+00,nan,2.169999999999999929e+00,2.873640000000000000e+05
-1.660099999999999909e+00,nan,2.187000000000000055e-01,2.873440000000000000e+05
-1.750110000000000054e+00,nan,2.454099999999999948e+00,2.868090000000000000e+05
-1.861120000000000108e+00,nan,4.571000000000000063e-01,2.859480000000000000e+05
-1.237340000000000106e+00,nan,3.629799999999999915e+00,2.856540000000000000e+05
-1.367820000000000036e+00,nan,9.224999999999999867e-01,2.848560000000000000e+05
-1.639950000000000019e+00,nan,6.169999999999999929e-01,2.820660000000000000e+05
-1.664460000000000051e+00,nan,2.039400000000000102e+00,2.820030000000000000e+05
-1.365359999999999907e+00,nan,2.499600000000000044e+00,2.807060000000000000e+05
-1.327990000000000004e+00,nan,2.086500000000000021e+00,2.799350000000000000e+05
-1.335579999999999989e+00,nan,8.199999999999999512e-01,2.788540000000000000e+05
-1.727600000000000025e+00,nan,2.309000000000000163e+00,2.786930000000000000e+05
-1.645180000000000087e+00,nan,9.022999999999999909e-01,2.775820000000000000e+05
-1.132309999999999928e+00,1.303350000000000080e+02,3.009999999999999787e+00,2.763210000000000000e+05
-1.652099999999999902e+00,nan,1.958800000000000097e+00,2.762120000000000000e+05
-2.372230000000000061e+00,nan,9.705000000000000293e-01,2.762050000000000000e+05
-1.656989999999999963e+00,nan,2.953800000000000203e+00,2.750870000000000000e+05
-1.212949999999999973e+00,nan,2.060000000000000053e+00,2.727730000000000000e+05
-1.375580000000000025e+00,nan,8.397000000000000020e-01,2.710190000000000000e+05
-1.626989999999999936e+00,nan,1.495940000000000047e+00,2.633610000000000000e+05
-2.288959999999999884e+00,nan,1.989999999999999991e+00,2.618800000000000000e+05
-1.968339999999999979e+00,nan,1.165000000000000036e+00,2.597140000000000000e+05
-1.989589999999999970e+00,nan,2.338400000000000034e+00,2.584080000000000000e+05
#nan,nan,1.547700000000000076e+00,nan
-1.566629999999999967e+00,nan,2.352100000000000080e+00,2.554450000000000000e+05
-1.893620000000000081e+00,nan,2.620800000000000018e+00,2.545320000000000000e+05
-1.956139999999999990e+00,nan,3.354999999999999982e+00,2.525930000000000000e+05
-1.331020000000000092e+00,nan,2.088000000000000078e+00,2.525880000000000000e+05
-6.632850000000000357e+00,nan,8.269999999999999574e-01,2.516340000000000000e+05
-1.547029999999999905e+00,nan,4.094999999999999751e-01,2.436900000000000000e+05
-1.230949999999999989e+00,nan,1.158800000000000052e+00,2.407660000000000000e+05
-1.402660000000000018e+00,nan,1.314500000000000002e+00,2.398990000000000000e+05
-1.016399999999999970e+00,nan,3.434400000000000119e+00,2.381740000000000000e+05
-1.643259999999999943e+00,nan,7.578000000000000291e-01,2.381080000000000000e+05
-1.282499999999999973e+00,nan,3.462999999999999967e-01,2.349050000000000000e+05
-1.020250000000000101e+00,nan,1.262199999999999989e+00,2.326830000000000000e+05
-1.736140000000000017e+00,nan,4.376999999999999780e-01,2.325850000000000000e+05
-8.082770000000000232e-01,7.067279999999999518e+01,5.463599999999999568e+00,2.313620000000000000e+05
-2.496809999999999974e+00,nan,3.208600000000000119e+00,2.312310000000000000e+05
-2.473739999999999828e+00,nan,1.510000000000000009e+00,2.307020000000000000e+05
-1.782990000000000075e+00,nan,2.470000000000000195e+00,2.306620000000000000e+05
-1.728679999999999994e+00,nan,9.370000000000000551e-01,2.291850000000000000e+05
-9.275250000000000439e-01,1.476870000000000118e+02,1.883599999999999941e+00,2.285810000000000000e+05
-1.978660000000000085e+00,nan,3.685599999999999987e+00,2.283160000000000000e+05
-1.657419999999999893e+00,nan,7.028999999999999693e-01,2.280060000000000000e+05
-1.539970000000000061e+00,nan,2.549999999999999822e+00,2.279960000000000000e+05
-1.527560000000000029e+00,nan,1.922900000000000054e+00,2.245520000000000000e+05
-4.837329999999999686e+00,nan,1.130400000000000071e+00,2.221540000000000000e+05
-1.689170000000000060e+00,nan,5.427999999999999492e-01,2.217550000000000000e+05
-1.891399999999999970e+00,nan,1.532000000000000028e+00,2.200200000000000000e+05
-1.894660000000000011e+00,nan,2.710799999999999876e+00,2.191010000000000000e+05
-1.640570000000000084e+00,nan,1.919999999999999929e+00,2.178050000000000000e+05
-4.240120000000000000e-01,6.194890000000000185e+01,3.423999999999999932e+00,2.177040000000000000e+05
-2.225070000000000103e+00,9.851970000000000027e+01,1.254000000000000115e-01,2.148050000000000000e+05
-1.443820000000000103e+00,nan,3.074899999999999967e+00,2.138230000000000000e+05
-1.524780000000000024e+00,nan,3.773000000000000131e+00,2.136300000000000000e+05
-2.053920000000000190e+00,nan,2.135699999999999932e+00,2.134860000000000000e+05
-1.218979999999999952e+00,nan,7.870000000000000329e-01,2.131800000000000000e+05
-1.960769999999999902e+00,nan,3.221299999999999830e+00,2.119570000000000000e+05
-1.537009999999999987e+00,nan,5.110000000000000320e+00,2.111170000000000000e+05
-2.364259999999999806e+00,nan,2.100000000000000089e+00,2.097550000000000000e+05
-1.765109999999999957e+00,nan,4.940999999999999837e+00,2.093520000000000000e+05
-1.232679999999999998e+00,nan,8.890000000000000679e-02,2.086540000000000000e+05
-9.845090000000000785e+00,nan,2.869999999999999774e-01,2.082750000000000000e+05
-1.429599999999999982e+00,nan,1.502599999999999936e+00,2.081690000000000000e+05
-2.781179999999999986e+00,nan,3.479999999999999760e-01,2.073990000000000000e+05
-1.681000000000000050e+00,nan,1.489999999999999991e+00,2.058510000000000000e+05
-2.264749999999999819e+00,nan,1.171999999999999931e+00,2.020350000000000000e+05
-1.758329999999999949e+00,nan,1.558999999999999941e+00,2.006380000000000000e+05
-1.688770000000000104e+00,nan,4.410000000000000142e+00,1.920590000000000000e+05
-2.184009999999999785e+00,nan,3.341999999999999832e-02,1.911570000000000000e+05
-1.482799999999999896e+00,nan,3.912199999999999900e+00,1.809770000000000000e+05
-1.119599999999999929e+00,8.074399999999999977e+01,4.055900000000000283e+00,1.804550000000000000e+05
-1.769249999999999989e+00,nan,7.830000000000000293e-01,1.799680000000000000e+05
-1.813700000000000090e+00,nan,2.299999999999999822e+00,1.787500000000000000e+05
-1.882989999999999942e+00,nan,4.599999999999999645e+00,1.776660000000000000e+05
-1.365510000000000002e+00,nan,6.599999999999999645e+00,1.775330000000000000e+05
-1.008960000000000079e+00,6.611180000000000234e+01,3.532799999999999940e+00,1.774080000000000000e+05
-1.997379999999999933e+00,nan,2.029999999999999805e+00,1.764530000000000000e+05
-1.394660000000000011e+00,nan,5.463999999999999968e-01,1.737800000000000000e+05
-1.544180000000000108e+00,nan,4.809999999999999831e-01,1.642790000000000000e+05
-1.321749999999999980e+00,nan,1.549479999999999968e+00,1.634380000000000000e+05
-1.978930000000000078e+00,nan,8.000000000000000167e-02,1.631700000000000000e+05
