# #hd,t90
1.255358402576327359e+00,5.519122185157685045e+00
1.918288805331689106e+00,2.649855956857483985e+00
1.133488028197508157e+00,3.771012283652458663e+00
1.124262668633799311e+00,nan
1.175340857163785113e+00,3.734235155834733533e+00
5.251901602925718865e-02,-1.887422453698315017e-01
1.489047284357914114e+00,4.876112934435574253e+00
1.211772823770610019e+00,4.741726997414302147e+00
1.513448508096659539e+00,6.079145699747815712e+00
1.628230718770470098e+00,1.059178219422702627e+00
1.462381312917088394e+00,5.177640146778316854e+00
1.372360440592834685e+00,2.491551192506668677e+00
1.837086906027367572e+00,5.264677849503799578e+00
1.054558436667825783e+00,3.278638620846127116e-01
1.679730457595467463e+00,-3.324237729415880249e+00
8.419615198518420537e-03,-1.102620310065648424e+00
1.074457986064206949e+00,4.151858468422707560e+00
1.098861153114565115e+00,3.658935577740864087e+00
1.326017111654134384e+00,4.424798726517750858e+00
1.719107520091852415e+00,3.897112392692391847e+00
7.387655403978901081e-01,3.662740796504241558e+00
1.122183914323008791e+00,4.644390899141372486e+00
8.733118045029335530e-01,2.070400797027686757e+00
7.796067923470663130e-01,6.257437676397547222e+00
8.284282534189061353e-01,1.344430157021191841e+00
1.452068516871784620e+00,1.909838757293655931e+00
1.215128814240446165e+00,2.887478688113736869e+00
1.591017457272276836e+00,3.316800765023405262e+00
8.167682210433693246e-01,4.520222133425281008e+00
9.044147028283586187e-03,-1.231001819179667445e+00
1.179797465521904343e+00,2.694627180770069241e+00
9.841150789955707134e-01,1.939604596492036759e+00
1.617493248106734338e+00,3.871867455451051487e+00
1.978301857056491142e-01,3.668166412516394637e+00
1.733971026612016075e+00,4.720995751493681780e+00
1.382825828961585124e+00,3.661508257317804382e+00
8.092563158058297956e-01,1.474305238442604082e+00
1.151767228299236390e+00,7.701082216960737359e-01
1.026384832639319011e+00,4.597984430173366555e+00
1.115808254534817578e+00,4.357529003073481455e+00
1.719322020706590903e+00,4.310745432668918298e+00
1.570985262611777289e+00,2.182449291754064991e+00
8.192176164993582033e-01,4.037350840701980026e+00
1.334833133472597133e+00,5.584998938666234203e+00
1.729721522181416393e+00,4.485755820436358121e+00
1.340117415260544620e+00,4.730392150741472790e+00
1.357036408382860104e+00,3.700214963777681998e+00
1.009421677313333321e+00,4.254818067932839121e+00
1.093017680389700777e-02,4.061063507653439153e+00
1.254584208742518303e+00,5.198541229184111323e+00
1.915432170138170687e+00,1.734130356391418548e+00
4.309416590377734488e-03,1.719188776393219653e+00
1.119255287769419960e+00,2.118803590354990107e-01
1.171431047188203234e+00,3.901164262093270274e+00
1.510741134358705405e-02,2.332532169361997809e+00
1.584908617366401762e+00,4.030765580579229734e+00
1.137951570151524816e+00,5.587023914046005402e+00
1.277611617498214169e+00,5.754069930023911539e+00
8.344391045212906644e-01,4.406963119963912767e+00
1.072738970924154600e+00,4.419322419417578196e+00
9.962701844022040509e-01,2.176114428940096435e+00
8.853140123927925043e-01,4.307626312097631249e+00
1.383266810560152216e+00,2.207834756448234792e+00
1.595412702508006486e+00,3.343568268825519052e+00
1.061187106328515650e+00,4.105811893662994372e+00
1.000755094827233904e+00,1.098612288668109782e+00
1.505225445557381470e+00,3.496507561466480229e+00
4.707715807397193086e-01,3.523650974746159292e+00
1.286703233490257503e+00,4.158883083359671495e+00
1.488758316002042559e+00,5.407171771460118848e+00
1.881521678052378910e+00,2.863343085508245345e+00
9.280142361359245973e-01,3.977885649527848511e+00
1.311828730038653745e+00,5.400368411945379421e+00
1.508473744840668873e+00,5.617149207992033766e+00
1.169919449809015743e+00,5.650466082554257419e+00
1.298305015675482288e+00,5.235505354136166467e+00
7.442083540684636400e-01,2.275008325223811134e+00
1.207187062965567215e+00,5.453867067289002613e+00
1.061401765599473412e+00,4.116562570788532938e+00
1.741293988462381259e+00,2.009019077383290330e+00
1.397908054472860817e+00,4.998643681243877701e+00
1.270361704676926662e+00,4.795261480046407065e+00
1.618870447817563271e-02,1.587334915629016324e-02
1.658638777854219981e+00,4.679052418378796041e+00
1.398935526345660652e+00,4.669308627104323151e+00
1.882578354595319636e+00,3.634212052771628176e+00
1.833715565112683299e+00,4.865193250445898343e+00
1.466268736943101558e+00,4.962760710654839258e+00
1.231323018704657324e+00,3.406649160340400773e+00
1.692774449708330131e+00,4.369093359261982279e+00
1.296446855584361790e+00,2.893478039515234634e+00
1.249741143371297269e+00,4.351670514658982469e+00
3.304106062169221980e-01,4.079636933349826577e+00
1.650244419687059816e+00,4.307949431277565466e+00
4.729461206803747819e-01,1.201168876993201629e+00
1.486840163525564140e+00,4.166789247118269479e+00
1.132522059945518356e+00,1.751631678137275605e+00
1.202768712269533857e+00,2.629872420038186220e+00
1.195529090600069955e+00,2.079441541679835748e+00
1.385512242941620453e+00,3.836437018471551053e+00
1.244554403594935188e+00,4.031191747216832155e+00
6.358719766970710729e-01,4.100392900756303582e+00
1.356838891100430100e+00,5.116435712982467798e+00
1.641050586227649655e+00,3.386151423456884135e+00
1.946942073925775452e+00,4.827193109633598489e+00
8.599404849022185271e-01,5.894986685828918382e+00
1.217219425340884120e+00,3.743935659862014820e+00
1.356011512233386673e+00,5.678327905183732760e+00
1.660490799027176223e+00,3.915616540938276380e+00
9.925618762123550320e-01,4.959201638981405758e+00
1.299430399899450084e+00,4.268745948214915487e+00
9.466016661459404347e-01,1.804346584733526271e+00
7.819176451969523933e-01,5.196528243646002743e+00
1.221817888956967524e+00,5.486024395618328775e+00
1.262303932264951634e+00,5.432498548014056183e+00
1.889480877304776429e+00,1.458615022699516706e+00
1.023682975274596396e+00,3.586957464388552452e+00
8.479662202176030394e-01,1.844351919347225532e+00
1.585425032232417264e+00,4.999830464930036023e+00
9.651191068836056930e-01,2.201659174404085206e+00
1.265668266885013660e+00,2.468600779315258120e-01
1.189115808890224946e+00,2.760009940032920994e+00
1.101049331346506177e+00,-8.393296907380267680e-01
1.696615632982478417e+00,5.819679288068914325e+00
1.549904825099377437e+00,4.184124325912903508e+00
1.283469794433785616e+00,5.900664182781484968e+00
1.261849033317404167e+00,2.579003973167115937e+00
1.552549890200456861e+00,4.690430029938914558e+00
1.593290869388537478e+00,3.653977402104671590e+00
1.584930589040055349e+00,3.039749158970765031e+00
1.207814795514914774e+00,1.790425246214918387e+00
1.278825429869826724e+00,-7.174398731289899356e-01
6.221435872949837576e-01,4.344117061600661245e+00
1.272706124475283973e+00,5.472304286551933572e+00
7.725865948878650746e-01,5.075173815233826602e+00
1.268399598208964640e+00,4.750931487470243297e+00
1.725542233922416901e+00,4.278275933679953624e+00
1.541590534766652754e+00,4.870361220604340957e+00
1.295051398350743677e+00,5.343501035123357390e+00
8.184911049064695909e-01,3.871201010907891149e+00
1.022186890106466350e+00,4.158883083359671495e+00
1.007241039047338083e+00,6.130678513284647302e+00
1.350383723777655476e+00,4.482188661572862109e+00
1.076522948368776822e+00,2.912785352733064936e+00
1.030867568088204234e+00,3.617598252108972456e+00
1.589948090723693142e+00,4.605170185988091802e+00
4.030613269226113182e-02,-1.496109227127097263e+00
1.368854817760190690e+00,4.445376950174643405e+00
1.704146975041182621e+00,3.963172289446701413e+00
1.512924077154225611e+00,4.397112272091922236e+00
1.977393484364345033e+00,4.907110130186572050e+00
1.280528479999645697e+00,3.795668948295454204e+00
1.644329831622950211e+00,3.867443962030178817e+00
1.972123608686749963e+00,4.327253608826589826e+00
1.200686275522833801e+00,4.865933169088608956e+00
1.257569224753632420e-01,3.109774989594651373e+00
7.086712424645837949e-01,2.177475281951201325e+00
7.200946419517029184e-01,2.191430043627883073e+00
1.162321513242310145e+00,4.068889992749632256e+00
1.206910964009497267e+00,1.615022290728000964e+00
1.039452478877596286e+00,2.959897820544775016e+00
1.014900984448231958e+00,3.797464764527377135e+00
1.268021603474534853e+00,5.246918803462036429e+00
1.375569895962337030e+00,4.382776353564427296e+00
1.387453538796560748e+00,4.977230170903700568e+00
1.399191731181921305e-01,-6.851790109107683824e-01
1.240420514982474964e+00,4.727777123454388608e+00
1.078180764572577610e+00,4.203497876118623466e+00
1.075747190780864226e+00,4.754141763100491858e+00
1.282918339605284119e+00,2.305381180296047106e+00
2.787489923490986676e-01,4.199365020066822218e+00
5.743472456870512000e-01,4.692301555778296773e+00
1.470370317533697735e+00,4.635039619590369142e+00
1.390129671578616222e+00,4.380024632003208573e+00
9.633145761499435356e-01,4.564348191467836102e+00
1.718345067946213112e+00,4.315299052623172038e+00
1.027564533676740499e+00,5.697227705685526722e+00
1.378395074440736279e+00,4.235901993191744985e+00
7.768664748866361824e-01,2.128231705849267907e+00
1.176816362524327531e+00,5.571910656556715580e+00
1.702104679028880518e+00,1.386294361119890572e+00
4.348997688037474496e-03,-1.937941979406136550e+00
1.484934775201671053e+00,3.348077859331493933e+00
5.818898913336831846e-01,4.564348191467836102e+00
1.247464966841851819e+00,4.692081557977387796e+00
8.323421888839912519e-01,2.330978167495263431e+00
1.182359877267134651e+00,4.109889773557562798e+00
1.240764480620383470e+00,2.426571072775036697e+00
8.802521547733643814e-01,nan
1.431174420979772988e+00,5.662960480135946106e+00
2.345964064502346902e-01,2.021812428843199339e+00
1.173444172974988042e+00,5.262047495375004047e+00
1.137841147882422410e+00,2.597044149724850204e+00
1.084484238336401951e+00,2.824469344116770309e+00
1.552388476588820732e+00,4.652359068790549834e+00
2.114076928932709099e-01,4.935135584694608113e+00
1.001816974922307146e+00,2.654649424375094657e+00
1.521336821829855301e+00,3.307415619122278105e-01
1.371561624207310093e+00,2.199444334074532215e+00
1.600197164256130788e+00,4.158883083359671495e+00
1.014711063561346327e+00,2.753405902823007345e+00
1.411109053351147669e+00,3.616308761279101169e+00
7.919156026968459106e-01,1.386294361119890572e+00
1.244550213222458401e+00,2.518341425874237594e+00
1.406149006131256707e+00,3.566937783308693710e+00
9.856852461377311192e-01,5.248391557778311345e+00
1.561962306147887336e+00,1.515566696824029780e+00
9.239577803820647750e-01,5.056398659907492821e+00
1.544949436472664805e+00,3.978185207681814717e+00
1.123000943025338927e+00,2.906026360469498027e+00
1.702033891885199823e+00,5.201674298843168565e+00
1.700489106176596987e+00,3.387774361330014639e+00
5.771139362894152081e-01,3.219195773679120798e+00
7.976283547655157458e-01,4.647194657243323590e+00
1.692809650365312946e+00,5.483833814238510129e+00
6.431281990513533220e-01,3.630084407603431096e+00
1.191880198202366348e+00,4.961809129278807795e+00
1.725267162980751889e+00,-9.571127263944101404e-01
1.523679639262859320e+00,4.478744913550318785e+00
1.432285909773615362e+00,3.312584723305551648e+00
1.002879981755785854e+00,2.973895578944816709e+00
1.402984896402339254e+00,5.040841136153321855e+00
8.784038551520514243e-03,3.839366287387872667e+00
1.046642705243847171e+00,4.591922825902461369e+00
7.598668389069055396e-01,3.899221413590936880e+00
1.724741062485352083e+00,3.044522437723423014e+00
9.584095246848730598e-01,2.178834285557870842e+00
1.652419191968071521e+00,-3.729700615301205335e+00
1.520556683476420590e+00,4.075025817835700614e+00
1.334990432994774823e+00,2.874919653337243197e+00
4.431409735255771865e-01,1.897319964888547483e+00
7.563618574718735665e-01,1.753711401590525076e+00
1.527867680366979286e+00,3.468606777891409365e+00
1.046512127310081919e+00,5.021139926741341242e+00
3.652755890920450499e-01,2.780308845254919170e+00
9.426661749159352954e-01,4.558078578454241025e+00
1.134431230253296841e+00,3.121483478859551131e+00
2.223384756788894911e+00,3.170189655291143715e+00
8.393466567713500082e-01,2.401887294067908130e+00
1.566679031832266755e+00,3.871201010907891149e+00
0.000000000000000000e+00,0.000000000000000000e+00
