GRB160412A   |682522|482127850.816| 2016-04-12T04:23:54.702760 |33.07395|-67.63998|0.8780014|36.63022|32.18|3.930079|12.456|1.376895|-240|962|0.7578| rate trigger | Yes |    
GRB160411A   |682339|482030948.032| 2016-04-11T01:28:51.924060 |349.3731|-40.25886|2.398998|8.714022|0.3559999|0.0756042|0.196|0.06511525|-787|963|0.2734| rate trigger | Yes |    
GRB160410A   |682269|481957804.16| 2016-04-10T05:09:48.056060 |150.7096|3.445514|2.168431|10.06724|96|50.59644|32|16|-239|483|0.3789| rate trigger | Yes |    
GRB160409A   |682162|481874062.4| 2016-04-09T05:54:06.301 |289.7071|-5.377075|2.080497|10.68196|48|1.6|27.2|1.6|3|13|0.0791| ground detected | No |    
GRB160408A   |682059|481789559.872| 2016-04-08T06:25:43.777280 |122.5626|71.12774|1.822748|12.90185|0.3199999|0.03687817|0.1799999|0.04326662|-719|1629|0.332| rate trigger | Yes |    
GRB160327A   |680655|480762983.744| 2016-03-27T09:16:07.705440 |146.699|54.0166|0.934815|33.49183|33.744|9.37472|9.824|1.283695|-240|962|0.8203| rate trigger | Yes |    
GRB160325A   |680436|480582019.648| 2016-03-25T07:00:03.619340 |15.69559|-72.70173|0.5448906|72.41347|61.724|12.05326|26.536|4.86102|-240|962|0.9609| rate trigger | Yes |    
GRB160321A   |680017|480268543.232| 2016-03-21T15:55:27.220500 |99.42122|5.752681|1.618113|15.29447|33.476|4.828278|16.888|5.195218|-239|963|0.9609| rate trigger | Yes |    
GRB160314A   |679120|479647987.776| 2016-03-14T11:32:51.798460 |112.7662|17.02345|1.728519|13.91822|8.732|1.516381|3.112|1.43|-240|962|0.75| rate trigger | Yes |    
GRB160313A   |678929|479529451.776| 2016-03-13T02:37:15.804900 |183.8196|57.27992|2.003469|11.27198|41.536|6.183212|22.368|5.979797|-691|962|0.8047| rate trigger | Yes |    
GRB160303A   |677495|478695297.984| 2016-03-03T10:54:42.058240 |168.7143|22.70816|2.01009|11.21898|4.976|1.006252|1.572|1.492146|-417|962|0.9609| rate trigger | Yes |    
GRB160228A   |676595|478373688.384| 2016-02-28T17:34:32.475720 |107.3153|26.95119|1.350755|19.79614|98.908|23.89074|47.596|4.790873|-888|963|0.8125| rate trigger | Yes |    
GRB160227A   |676423|478294344| 2016-02-27T19:32:08.096040 |195.0592|78.66851|2.973768|6.411584|316.348|75.75925|175.112|14.12247|-239|963|0.5078| image trigger | Yes |    
GRB160225A   |675998|478102872.32| 2016-02-25T14:20:56.426440 |164.2173|53.66054|1.931525|11.87653|157.456|70.49155|38.336|11.20712|-239|963|0.3555| rate trigger | Yes |    
GRB160223A   |675361|477884681.152| 2016-02-23T01:44:25.270300 |147.6056|9.367741|1.005466|30.18118|134.864|17.45236|21.124|5.594148|-400|603|0.5391| rate trigger | Yes |    
GRB160220B   |674734|477659469.696| 2016-02-20T11:10:53.826540 |259.851|-18.12369|0.6888403|51.80571|31.116|3.016923|8.24|0.5544006|-610|962|0.3867| rate trigger | Yes |    
GRB160220A   |674670|477624341.568| 2016-02-20T01:25:25.700460 |236.9405|-18.54237|1.754443|13.62536|8.26|1.166424|4.5|1.213952|-240|962|0.2773| rate trigger | Yes |    
GRB160216A   |673978|477342647.296| 2016-02-16T19:10:31.443760 |311.6791|-71.55118|0.8776743|36.64972|11|1|3|1|-887|977|0.4766| rate trigger | Yes |    
GRB160203A   |672525|476158406.4| 2016-02-03T02:13:10.612140 |161.9753|-24.76899|1.734906|13.84509|17.44|2.285985|8.432|2.58374|-239|963|0.2031| rate trigger | Yes |    
GRB160131A   |672236|475921247.744| 2016-01-31T08:20:31.969040 |78.16854|-7.038471|1.085351|27.05852|327.752|71.02902|64.388|5.02698|-240|962|0.6484| rate trigger | Yes |    
GRB160127A   |671828|475577003.072| 2016-01-27T08:43:07.315740 |225.9658|0.07950222|1.7945|13.19295|6.156|0.9366579|3.572|0.6720595|-239|963|0.418| rate trigger | Yes |    
GRB160123A   |671447|475232315.904| 2016-01-23T08:58:20.166340 |150.2766|-33.78973|1.571963|15.93993|3.952|0.6232464|2.116|0.4590773|-240|962|0.6875| rate trigger | Yes |    
GRB160121A   |671231|475077053.44| 2016-01-21T13:50:37.710700 |109.0798|-23.58935|1.172753|24.22434|10.5|2.395617|4.304|0.9678037|-239|963|0.9141| rate trigger | Yes |    
GRB160119A   |671014|474865584| 2016-01-19T03:06:08.282120 |211.9171|20.45245|2.051873|10.89405|120.14|14.98463|21.228|1.257814|-239|963|0.7734| image trigger | Yes |    
GRB160117B   |670800|474731983.36| 2016-01-17T13:59:27.649320 |132.1705|-16.34324|1.464849|17.63077|11.536|2.608028|3.052|2.280393|-822|1924|0.9375| rate trigger | Yes |    
GRB160117A   |670793|474718368| 2016-01-17T10:12:32.290060 |20.37161|-0.6788254|1.939975|11.80269|137|20.39608|31|11.18034|-173|1029|0.6094| image trigger | Yes |    
GRB160104A   |669319|473599466.496| 2016-01-04T11:24:10.846420 |76.81048|11.3326|1.655077|14.80884|16.564|2.787651|10.316|3.988506|-505|963|1.0156| rate trigger | Yes |    
GRB151229A   |668689|473064643.584| 2015-12-29T06:50:27.963280 |329.3641|-20.73205|1.031322|29.10608|1.44|0.4471465|0.608|0.08049842|-240|962|0.5156| rate trigger | Yes |    
GRB151228B   |668641|473035650.56| 2015-12-28T22:47:14.940840 |344.4256|8.086894|0.8954133|35.61691|48|16|16|16|-240|962|1.0156| rate trigger | Yes |    
GRB151228A   |668543|472964728| 2015-12-28T03:05:12.384680 |214.0198|-17.66641|1.782505|13.31996|0.276|0.04|0.168|0.04326665|-239|963|1| rate trigger | No |    
GRB151215A   |667392|471841304.512| 2015-12-15T03:01:28.957040 |93.62201|35.5312|2.761708|7.126307|17.848|1.013714|13.436|12.65244|-240|963|0.5156| rate trigger | Yes |    
GRB151210A   |666931|471409992| 2015-12-10T03:12:56.468160 |65.08558|-71.22657|1.721377|14.0008|86.96|10.67124|60.54|4.922993|-239|963|0.6094| image trigger | Yes |    
GRB151205B   |666378|471044610.048| 2015-12-05T21:43:14.535740 |41.19453|-43.46105|2.379817|8.814528|1.436|0.2375879|0.8519999|0.3054701|-239|963|0.9609| rate trigger | No |    
GRB151205A   |666352|471023176.448| 2015-12-05T15:46:00.936900 |229.2881|35.76791|1.365492|19.49162|64|35.77709|16|16|-315|963|0.9375| rate trigger | Yes |    
GRB151127A   |665268|470308145.28| 2015-11-27T09:08:49.807240 |19.66065|-82.76161|2.793181|7.011873|0.1879999|0.04252059|0.09599996|0.04252059|-364|963|0.9609| rate trigger | Yes |    
GRB151122A   |664653|469904452.8| 2015-11-22T17:00:52.800 |299.6957|-19.86123|1.515847|16.79176|36.8|1.6|20.8|1.6|1|11|0.8594| ground detected | No |    
GRB151118A   |664078|469508805.44| 2015-11-18T03:06:30.010020 |57.17098|65.88886|1.413533|18.55221|23.568|10.67949|5.6|2.984504|-239|963|0.9844| rate trigger | Yes |    
GRB151114A   |663490|469187989.568| 2015-11-14T09:59:34.155100 |120.9474|-61.03281|1.766965|13.48762|4.856|0.9766965|2.556|1.266188|-829|962|0.3047| rate trigger | Yes |    
GRB151112A   |663179|469028703.488| 2015-11-12T13:44:48.083580 |2.054131|-61.66865|1.936933|11.82918|58.864|22.72541|12.224|7.48352|-239|603|0.5234| rate trigger | Yes |    
GRB151111A   |663074|468923618.816| 2015-11-11T08:33:23.417180 |56.85165|-44.15369|0.9991346|30.45478|76.044|12.75371|26.864|3.246389|-240|962|0.8047| rate trigger | Yes |    
