GRB120624B 0.3984             
GRB120612A nan             
GRB120521C 4.1745             
GRB120521B nan             
GRB120521A nan             
GRB120514A nan             
GRB120422A 2.1974             
GRB120404A 5.93             
GRB120403B nan             
GRB120403A nan             
GRB120401A 0.28253             
GRB120328A nan             
GRB120327A 2.876             
GRB120326A 4.5             
GRB120324A nan             
GRB120320A nan             
GRB120312A nan             
GRB120311B nan             
GRB120311A nan             
GRB120308A nan             
GRB120305A nan             
GRB120302A nan             
GRB120229A nan             
GRB120224A 2.8145             
GRB120219A nan             
GRB120218A nan             
GRB120215A nan             
GRB120213A nan             
GRB120212A nan             
GRB120211A 1.798             
GRB120121A nan             
GRB120119A 1.1             
GRB120118B 2.4             
GRB120116A nan             
GRB120114A nan             
GRB120106A nan             
GRB120102A nan             
GRB111229A 1.728             
GRB111228A 2.943             
GRB111225A 1.3805             
GRB111215A nan             
GRB111212A nan             
GRB111210A nan             
GRB111209A 0.71627             
GRB111208A nan             
GRB111207A nan             
GRB111204A nan             
GRB111201A nan             
GRB111129A 0.297             
GRB111126A nan             
GRB111123A 0.677             
GRB111121A nan             
GRB111117A 1.0796             
GRB111109A nan             
GRB111107A 3.1516             
GRB111103B nan             
GRB111103A nan             
GRB111029A nan             
GRB111026A nan             
GRB111022B nan             
GRB111022A nan             
GRB111020A nan             
GRB111018A nan             
GRB111016A nan             
GRB111008A 1.3             
GRB111005A 2.893             
GRB110928A nan             
GRB110921A nan             
GRB110915A nan             
GRB110827A nan             
GRB110820A nan             
GRB110818A 4.99005             
GRB110808A 0.01326(?)             
GRB110801A 3.36             
GRB110731A 1.348             
GRB110726A 1.858             
GRB110719A nan             
GRB110715A 2.83             
GRB110709B nan             
GRB110709A nan             
GRB110625A nan             
GRB110610A nan             
GRB110604A nan             
GRB110530A nan             
GRB110521A nan             
GRB110520A nan             
GRB110519A nan             
GRB110503A 1.036             
GRB110422A 0.8224             
GRB110420B nan             
GRB110420A nan             
GRB110414A nan             
GRB110412A nan             
GRB110411A nan             
GRB110407A nan             
GRB110402A nan             
GRB110319A nan             
GRB110319B nan             
GRB110318B nan             
GRB110318A nan             
GRB110315A nan             
GRB110312A nan             
GRB110305A nan             
GRB110223B nan             
GRB110223A nan             
GRB110213A 1.613             
GRB110212A nan             
GRB110210A nan             
GRB110208A nan             
GRB110207A nan             
GRB110205A 1.77             
GRB110201A nan             
GRB110128A 1.4607             
GRB110119A nan             
GRB110112A nan             
GRB110107A nan             
GRB110106B 2.22             
GRB110106A nan             
GRB110102A nan             
GRB101225A 2.339             
GRB101224A nan             
GRB101219B 0.618             
GRB101219A 0.847             
GRB101213A 0.55185             
GRB101204A nan             
GRB101201A nan             
GRB101129A nan             
GRB101117B nan             
GRB101114A nan             
GRB101030A nan             
GRB101024A nan             
GRB101023A nan             
GRB101020A nan             
GRB101017A nan             
GRB101011A nan             
GRB101008A nan             
GRB100928A nan             
GRB100924A nan             
GRB100917A nan             
GRB100915A nan             
GRB100906A 0.718             
GRB100905A nan             
GRB100904A nan             
GRB100902A nan             
GRB100901A 0.414             
GRB100823A nan             
GRB100816A 1.727             
GRB100814A 1.4084             
GRB100807A nan             
GRB100805A nan             
GRB100802A nan             
GRB100728B 0.8049             
GRB100728A 1.44             
GRB100727A nan             
GRB100725B nan             
GRB100725A nan             
GRB100724A 2.106             
GRB100719A nan             
GRB100704A nan             
GRB100702A nan             
GRB100628A 1.567             
GRB100625A 1.288             
GRB100621A 0.102             
GRB100619A nan             
GRB100615A 0.452             
GRB100614A nan             
