GRB160705B   |    703176    | -1.756260e+00 | -2.025820e+00 | -1.501980e+00 | 1.129720e-03 | 9.592620e-04 | 1.293280e-03 | 55.06 | 57 | 0.9659 | 5.483111e-01 | 50.0000 | 69.62 | -14.484000 | 55.132000 |  
GRB160703A   |    702699    | -1.327760e+00 | -1.363060e+00 | -1.292290e+00 | 1.146380e-02 | 1.125560e-02 | 1.167180e-02 | 39.36 | 57 | 0.6905 | 9.639220e-01 | 50.0000 | 79.73 | -26.428000 | 53.304000 |  
GRB160630A   |    702252    | -1.318630e+00 | -1.453070e+00 | -1.183320e+00 | 3.527640e-03 | 3.266920e-03 | 3.788350e-03 | 68.42 | 57 | 1.200 | 1.429703e-01 | 50.0000 | 36.3 | -1.416000 | 34.888000 |  
GRB160625A   |    701503    | -2.085720e+00 | -2.160700e+00 | -2.011850e+00 | 5.704780e-03 | 5.470180e-03 | 5.937680e-03 | 37.66 | 57 | 0.6607 | 9.775503e-01 | 50.0000 | 62.45 | -15.036000 | 47.412000 |  
GRB160624A   |    701288    | -3.330160e-01 | -7.715740e-01 | 1.999440e-01 | 1.142940e-02 | 8.087110e-03 | 1.437520e-02 | 60.87 | 57 | 1.068 | 3.383848e-01 | 50.0000 | 0.256 | 0.048000 | 0.304000 |  
GRB160623A   |  N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A |  
GRB160612A   |  00031791037 | -7.134110e-01 | -8.883000e-01 | -5.301880e-01 | 4.300520e-02 | 3.887730e-02 | 4.709870e-02 | 67.28 | 57 | 1.180 | 1.654564e-01 | 50.0000 | 0.184 | 0.116000 | 0.300000 |  
GRB160611A   |    690598    | -1.676110e+00 | -1.798650e+00 | -1.554840e+00 | 4.261020e-03 | 3.960950e-03 | 4.559420e-03 | 54.78 | 57 | 0.9611 | 5.588192e-01 | 50.0000 | 44.9 | -31.384000 | 13.512000 |  
GRB160607A   |    689597    | -1.368730e+00 | -1.391960e+00 | -1.345410e+00 | 3.650680e-02 | 3.601330e-02 | 3.699940e-02 | 43.80 | 57 | 0.7685 | 9.002288e-01 | 50.0000 | 58.63 | -14.548000 | 44.080000 |  
GRB160601A   |    688452    | -9.767810e-01 | -1.219180e+00 | -7.292430e-01 | 4.118880e-02 | 3.530020e-02 | 4.706980e-02 | 59.21 | 57 | 1.039 | 3.949864e-01 | 50.0000 | 0.144 | -0.024000 | 0.120000 |  
GRB160525B   |    687522    | -1.898680e+00 | -2.263590e+00 | -1.562880e+00 | 1.080480e-02 | 8.107510e-03 | 1.341860e-02 | 47.54 | 57 | 0.8341 | 8.097246e-01 | 50.0000 | 0.316 | 0.016000 | 0.332000 |  
GRB160525A   |    687492    | -2.622220e+00 | -3.228740e+00 | -2.132840e+00 | 2.862030e-04 | 1.567410e-04 | 4.286140e-04 | 43.52 | 57 | 0.7635 | 9.056671e-01 | 50.0000 | 64 | 0.000000 | 64.000000 |  
GRB160519A   |    686818    | -1.971370e+00 | -2.232530e+00 | -1.726920e+00 | 3.009140e-03 | 2.500430e-03 | 3.502840e-03 | 47.61 | 57 | 0.8353 | 8.077117e-01 | 50.0000 | 42.14 | -0.992000 | 41.152000 |  
GRB160506A   |    685245    | -2.122050e+00 | -2.361050e+00 | -1.899170e+00 | 4.750030e-04 | 4.049340e-04 | 5.425000e-04 | 55.92 | 57 | 0.9810 | 5.157344e-01 | 50.0000 | 345.1 | -9.096000 | 336.016000 |  
GRB160504A   |    685124    | -1.785940e+00 | -1.977330e+00 | -1.600640e+00 | 1.437440e-03 | 1.272620e-03 | 1.598220e-03 | 38.22 | 57 | 0.6706 | 9.735662e-01 | 50.0000 | 58.59 | -42.392000 | 16.196000 |  
