GRB140430A -2.10789 nan 47.6201
GRB140428A -0.402624 nan 64.422
GRB140423A -1.16323 nan 271.043
GRB140419A -1.09851 nan 994.29
GRB140414A -0.529901 nan 664.065
GRB140413A -1.2612 nan 186.047
GRB140412A -2.26554 nan 106.251
GRB140408A -1.00243 nan 109.21
GRB140402A -1.16791 nan 9999.36
GRB140331A -1.41789 nan 40.599
GRB140323A -1.3241 nan 215.353
GRB140320A -1.14811 nan 340.817
GRB140318A -1.08585 nan 180.845
GRB140311B -0.763803 nan 124.45
GRB140311A -1.48441 nan 116.353
GRB140305A -0.301199 nan 75.0365
GRB140304A -0.846809 136.898 0.0107937
GRB140302A -1.07028 nan 9998.48
GRB140301A -2.02681 nan 14.8834
GRB140215A -1.09762 nan 9999.36
GRB140213A -1.61639 nan 113.742
GRB140211A -1.67631 nan 34.2172
GRB140209A -1.16202 nan 178.253
GRB140206A -1.14172 133.61 0.00870879
GRB140129B -1.99215 nan 1.49585
GRB140129A -0.532294 nan 38.3347
GRB140118A -1.35697 nan 55.5965
GRB140114A -1.80314 nan 32.4668
GRB140108A -1.50535 nan 962.001
GRB140103A -1.43342 nan 17.3479
GRB140102A -1.22975 nan 304.156
GRB131229A -1.01149 nan 983.465
GRB131227A -1.34071 nan 9967.95
GRB131226A -1.2998 nan 469.679
GRB131224B -1.05212 nan 36.2502
GRB131205A -1.5056 nan 9974.72
GRB131202A -1.43842 nan 275.673
GRB131128A -1.11171 nan 60.902
GRB131127A -1.82421 nan 12.7522
GRB131120A -0.785268 nan 17.0778
GRB131117A 0.170574 nan 44.352
GRB131110A -1.39242 nan 109.039
GRB131105A nan nan nan
GRB131103A -1.34182 nan 63.408
GRB131031A nan nan nan
GRB131030A -1.16186 nan 404.43
GRB131024B -0.865113 nan 513.471
GRB131024A -1.43617 nan 59.2018
GRB131018A -1.71238 nan 20.7564
GRB131004A -1.23067 nan 60.678
GRB131002B -0.894257 nan 30.9686
GRB131002A -0.538106 nan 61.8656
GRB131001A -0.906274 52.456 0.0328081
GRB130929A -0.968204 nan 43.8469
GRB130925A -1.84657 nan 39.703
GRB130919A -0.392274 68.5429 0.00471599
GRB130913A -0.688347 nan 452.176
GRB130912A -1.1561 nan 965.147
GRB130907A -1.12745 nan 999.537
GRB130831B -0.242025 nan 53.0499
GRB130831A -1.9144 nan 319.855
GRB130829A -1.07066 nan 175.945
GRB130822A 0.451928 nan 60.3147
GRB130816B -0.339121 nan 46.2201
GRB130816A -1.51895 nan 59.1067
GRB130812A -1.09858 nan 26.5087
GRB130807A -0.918447 nan 72.719
GRB130806A -1.66013 nan 16.7655
GRB130803A -1.16661 nan 88.5534
GRB130727A -1.42243 nan 137.8
GRB130725B -1.98735 nan 1.79921
GRB130725A -1.61643 nan 9999.36
GRB130722A -1.42022 nan 981.144
GRB130719A -1.67316 nan 9999.31
GRB130716A 0.302803 nan 82.0643
GRB130708A 0.22931 nan 85.544
GRB130701A -0.902599 89.1621 0.152299
GRB130627B -0.901135 nan 56.9403
